time_s,value,state
0.0041,61241,none
0.0047,62072,none
0.0082,62306,none
0.0123,62257,none
0.0164,62614,none
0.0211,63257,none
0.0274,63865,none
0.0285,64797,none
0.0328,64075,none
0.0367,65168,none
0.0387,658,none
0.0408,89,none
0.0424,66711,none
0.0463,65986,none
0.0499,66588,none
0.0554,67404,none
0.0573,68061,none
0.0614,67463,none
0.0655,68061,none
0.0695,69136,none
0.0769,68745,none
0.0795,69901,none
0.0849,70171,none
0.0887,70195,none
0.0905,70338,none
0.1031,71320,none
0.1050,71859,none
0.1055,71783,none
0.1097,72514,none
0.1121,72995,none
0.1152,72989,none
0.1188,73432,none
0.1235,74144,none
0.1292,74036,none
0.1344,74839,none
0.1389,74621,none
0.1490,75671,none
0.1491,76001,none
0.1492,76344,none
0.1513,76833,none
0.1555,76886,none
0.1717,77105,none
0.1722,77891,none
0.1724,78168,none
0.1846,78395,none
0.1888,78696,none
0.1922,79044,none
0.1940,79916,none
0.1971,79404,none
0.1975,80934,none
0.2015,80585,none
0.2021,80997,none
0.2027,81611,none
0.2047,81700,none
0.2127,82269,none
0.2188,82603,none
0.2191,83198,none
0.2211,83145,none
0.2254,83184,none
0.2296,84006,none
0.2338,83692,none
0.2378,85009,none
0.2419,84891,none
0.2460,84737,none
0.2500,85570,none
0.2542,86193,none
0.2582,86061,none
0.2624,86395,none
0.2665,86459,none
0.2704,86955,none
0.2760,87617,none
0.2881,88035,none
0.2889,88124,none
0.2893,88424,none
0.2909,89166,none
0.2926,89,none
0.2981,189,none
0.2994,89710,none
0.3009,90204,none
0.3032,89289,none
0.3073,89496,none
0.3113,90634,none
0.3154,91540,none
0.3195,91466,none
0.3240,91717,none
0.3285,92613,none
0.3321,92064,none
0.3369,92696,none
0.3413,92494,none
0.3455,92848,none
0.3499,93231,none
0.3523,93958,none
0.3564,94295,none
0.3605,93881,none
0.3646,94984,none
0.3687,95612,none
0.3727,94836,none
0.3768,94823,none
0.3810,95421,none
0.3852,95913,none
0.3892,96651,none
0.3932,96515,none
0.3973,96723,none
0.4013,96949,none
0.4058,97138,none
0.4099,98302,none
0.4140,98713,none
0.4180,98228,none
0.4194,98,none
0.4221,274,none
0.4239,99111,none
0.4261,99176,none
0.4302,99864,none
0.4343,99813,none
0.4388,99998,none
0.4429,100650,none
